10.5.0.115	1706868588015	02/02/2024 11:09:48	785	[    0.71657    0.066317     0.51584][   0.052467     0.16974    -0.98409]
10.5.0.115	1706868588230	02/02/2024 11:09:48	215	[     0.7111    0.067254     0.51246][   0.024605     0.18208    -0.98298]
10.5.0.115	1706868588417	02/02/2024 11:09:48	187	[    0.71268    0.066007     0.50996][   0.042534      0.1723    -0.98413]
10.5.0.115	1706868588827	02/02/2024 11:09:48	410	[    0.71847    0.067748      0.5148][   0.054138     0.18877    -0.98053]
10.5.0.115	1706868589432	02/02/2024 11:09:49	605	[    0.75399    0.074332     0.53084][    0.28084     0.26609    -0.92213]
10.5.0.115	1706868589631	02/02/2024 11:09:49	199	[    0.76637    0.073772      0.5307][    0.37272     0.25168    -0.89316]
10.5.0.115	1706868589833	02/02/2024 11:09:49	202	[    0.77611    0.071626     0.52663][    0.46822     0.21359    -0.85741]
10.5.0.115	1706868590223	02/02/2024 11:09:50	390	[    0.77895     0.05974     0.50691][    0.59397    0.068462    -0.80157]
10.5.0.115	1706868590818	02/02/2024 11:09:50	595	[     0.7015    0.065165     0.48252][  -0.051167     0.11458     -0.9921]
10.5.0.115	1706868591041	02/02/2024 11:09:51	223	[    0.67369    0.061726     0.48601][   -0.30638    0.094154    -0.94724]
10.5.0.115	1706868591246	02/02/2024 11:09:51	205	[    0.65334    0.060045     0.49902][   -0.52078     0.07372     -0.8505]
10.5.0.115	1706868591629	02/02/2024 11:09:51	383	[    0.66331    0.062364     0.51825][   -0.53034     0.11189    -0.84037]
10.5.0.115	1706868592046	02/02/2024 11:09:52	417	[    0.69009    0.077919     0.53636][   -0.33456     0.32342    -0.88514]
10.5.0.115	1706868592235	02/02/2024 11:09:52	189	[    0.69641     0.07758      0.5375][   -0.29844     0.31105    -0.90232]
10.5.0.115	1706868592659	02/02/2024 11:09:52	424	[    0.70042    0.040906     0.51429][   -0.28822    -0.12092     -0.9499]
10.5.0.115	1706868593245	02/02/2024 11:09:53	586	[    0.69671    0.011111     0.50278][    -0.3311    -0.40329    -0.85307]
10.5.0.115	1706868593632	02/02/2024 11:09:53	387	[    0.70013     0.04307     0.52441][   -0.30825    -0.12801    -0.94265]
10.5.0.115	1706868593827	02/02/2024 11:09:53	195	[    0.70394    0.046457     0.52805][   -0.27462   -0.084839     -0.9578]
10.5.0.115	1706868594010	02/02/2024 11:09:54	183	[    0.70547    0.047116     0.52786][   -0.26348   -0.075387    -0.96171]
10.5.0.115	1706868594223	02/02/2024 11:09:54	213	[    0.70551    0.045323     0.52594][   -0.26382    -0.07533    -0.96163]
10.5.0.115	1706868594408	02/02/2024 11:09:54	185	[    0.70503     0.04501     0.52292][   -0.26258   -0.076093    -0.96191]
10.5.0.115	1706868594624	02/02/2024 11:09:54	216	[    0.70339    0.045274     0.51985][   -0.25968   -0.072778    -0.96295]
10.5.0.115	1706868595040	02/02/2024 11:09:55	416	[     0.6999    0.041099     0.50922][   -0.20999     -0.1105    -0.97144]
10.5.0.115	1706868595439	02/02/2024 11:09:55	399	[    0.75183     0.03239     0.50782][    0.37198    -0.19646    -0.90721]
10.5.0.115	1706868596029	02/02/2024 11:09:56	590	[    0.76897    0.034627     0.49305][    0.46263    -0.17499    -0.86911]
10.5.0.115	1706868596430	02/02/2024 11:09:56	401	[    0.69779    0.025523     0.45335][  -0.061046    -0.26476    -0.96238]
10.5.0.115	1706868596849	02/02/2024 11:09:56	419	[    0.60912    0.014837     0.42867][   -0.41284     -0.4225    -0.80688]
10.5.0.115	1706868597029	02/02/2024 11:09:57	180	[    0.56425    0.010294     0.40884][   -0.46115    -0.48122     -0.7455]
10.5.0.115	1706868597312	02/02/2024 11:09:57	283	[    0.48963  7.5635e-05     0.27391][   -0.58274    -0.44596    -0.67936]
10.5.0.115	1706868597648	02/02/2024 11:09:57	336	[    0.46222    0.028393     0.16644][    -0.6166    -0.32444    -0.71731]
10.5.0.115	1706868598026	02/02/2024 11:09:58	378	[    0.39525    0.063846    0.022427][   -0.63471    -0.13947    -0.76006]
10.5.0.115	1706868598433	02/02/2024 11:09:58	407	[    0.25747    0.036716   -0.089684][   -0.60196    -0.25853    -0.75552]
10.5.0.115	1706868598647	02/02/2024 11:09:58	214	[    0.16141    0.035976    -0.14155][   -0.53079    -0.26026    -0.80655]
10.5.0.115	1706868599024	02/02/2024 11:09:59	377	[   0.023375     0.05485    -0.24925][   -0.32575    -0.25721     -0.9098]
10.5.0.115	1706868599229	02/02/2024 11:09:59	205	[ -0.0013275    0.053175    -0.31176][   -0.21802    -0.25505    -0.94203]
10.5.0.115	1706868599647	02/02/2024 11:09:59	418	[   0.040413    0.036981    -0.49982][  -0.036667    -0.17557    -0.98378]
10.5.0.115	1706868600211	02/02/2024 11:10:00	564	[    0.19118    0.052375    -0.70771][    0.44809    -0.20232    -0.87079]
10.5.0.115	1706868600428	02/02/2024 11:10:00	217	[    0.25142    0.047576    -0.75177][     0.6672    -0.22031    -0.71155]
10.5.0.115	1706868601073	02/02/2024 11:10:01	645	[    0.42858     0.06494    -0.96466][    0.93666    -0.13195    -0.32442]
10.5.0.115	1706868601439	02/02/2024 11:10:01	366	[    0.55677    0.055165    -0.93575][     0.9768    -0.19241     0.09403]
10.5.0.115	1706868602048	02/02/2024 11:10:02	609	[    0.76243    0.054338    -0.65575][    0.92509    -0.10056      0.3662]
10.5.0.115	1706868602443	02/02/2024 11:10:02	395	[    0.85331    0.056678    -0.51056][    0.75347   -0.098021     0.65013]
10.5.0.115	1706868602634	02/02/2024 11:10:02	191	[    0.92584    0.045074    -0.44006][     0.6327    -0.12288     0.76459]
10.5.0.115	1706868603077	02/02/2024 11:10:03	443	[     1.1359    0.066167    -0.31675][    0.58476     -0.0268     0.81077]
10.5.0.115	1706868603239	02/02/2024 11:10:03	162	[     1.2278    0.069965    -0.23945][    0.56457   -0.042014     0.82431]
10.5.0.115	1706868603675	02/02/2024 11:10:03	436	[     1.3384    0.036611   -0.020078][    0.54964    -0.12317     0.82627]
